timestamp,x,y,z,label
13:19:33.206,-7,-68,"55
",normal
13:19:33.206,-7,-68,"55
",normal
13:19:33.590,-8,-75,"46
",normal
13:19:33.590,-8,-75,"46
",normal
13:19:35.366,-11,-78,"39
",normal
13:19:35.366,-11,-78,"39
",normal
13:19:35.755,-11,-84,"26
",normal
13:19:35.755,-11,-84,"26
",normal
13:19:36.142,-10,-82,"30
",normal
13:19:36.142,-10,-82,"30
",normal
13:19:36.534,-10,-81,"34
",normal
13:19:36.534,-10,-81,"34
",normal
13:19:36.925,-9,-80,"36
",normal
13:19:36.925,-9,-80,"36
",normal
13:19:40.239,-10,-81,"34
",normal
13:19:40.239,-10,-81,"34
",normal
13:19:41.408,-11,-82,"29
",normal
13:19:41.408,-11,-82,"29
",normal
13:19:45.698,-11,-82,"31
",normal
13:19:45.698,-11,-82,"31
",normal
13:19:47.453,-11,-82,"29
",normal
13:19:47.453,-11,-82,"29
",normal
13:19:47.845,-13,-83,"27
",normal
13:19:47.845,-13,-83,"27
",normal
13:19:48.235,-12,-84,"24
",normal
13:19:48.235,-12,-84,"24
",normal
13:19:49.599,-13,-84,"26
",normal
13:19:49.599,-13,-84,"26
",normal
13:20:01.494,-13,-81,"34
",normal
13:20:01.494,-13,-81,"34
",normal
13:20:01.885,-11,-75,"43
",normal
13:20:01.885,-11,-75,"43
",normal
13:20:02.275,-10,-73,"46
",normal
13:20:02.275,-10,-73,"46
",normal
13:20:02.662,-12,-80,"38
",normal
13:20:02.662,-12,-80,"38
",normal
13:20:06.175,-12,-75,"42
",normal
13:20:06.175,-12,-75,"42
",normal
13:20:06.564,-12,-79,"37
",normal
13:20:06.564,-12,-79,"37
",normal
13:20:06.955,-13,-84,"25
",normal
13:20:06.955,-13,-84,"25
",normal
13:20:07.343,-13,-85,"23
",normal
13:20:07.343,-13,-85,"23
",normal
13:20:07.735,-11,-83,"26
",normal
13:20:07.735,-11,-83,"26
",normal
13:20:07.907,-12,-82,"30
",normal
13:20:07.907,-12,-82,"30
",normal
13:20:08.904,-12,-82,"32
",normal
13:20:08.905,-12,-82,"32
",normal
13:20:09.294,-11,-82,"30
",normal
13:20:09.294,-11,-82,"30
",normal
13:20:10.074,-13,-83,"28
",normal
13:20:10.074,-13,-83,"28
",normal
13:20:10.465,-12,-83,"26
",normal
13:20:10.465,-12,-83,"26
",normal
13:20:10.854,-12,-81,"32
",normal
13:20:10.854,-12,-81,"32
",normal
13:20:11.242,-12,-80,"34
",normal
13:20:11.242,-12,-80,"34
",normal
13:20:11.635,-12,-77,"38
",normal
13:20:11.635,-12,-77,"38
",normal
13:20:12.023,-14,-82,"32
",normal
13:20:12.023,-14,-82,"32
",normal
13:20:12.805,-13,-82,"30
",normal
13:20:12.805,-13,-82,"30
",normal
13:20:14.950,-15,-84,"23
",normal
